Player,GP,G,A,P,PM
Alex Knifel,4,10,1,11,0
Sebastian Silley,3,0,6,6,0
Mike Kari,4,2,3,5,0
Nick Gorse,4,1,3,4,0
Justin Stroud,3,1,2,3,2
Stuart Coy,4,0,3,3,0
Kelsey Regan,4,1,1,2,28
Dillon Couch,4,0,2,2,0
Mike Matthews,4,1,0,1,0
Nathaniel Stuart,2,1,0,1,4
Matt Kolec,4,0,1,1,0
Kerry Regan,4,0,1,1,8
Peter Stokes,4,0,0,0,8
Chris Atkins,2,0,0,0,2
