Player,GP,G,A,P,PM
Justin Stroud,22,20,14,34,6
Alex Knifel,21,22,11,33,4
Mike Kari,21,12,21,33,8
Peter Stokes,23,4,21,25,20
Dillon Crouch,20,7,14,21,2
Stuart Coy,18,7,11,18,2
Mike Matthews,22,8,9,17,6
Nick Gorse,16,6,9,15,4
Nathaniel Stuart,20,3,9,12,4
Kelsey Regan,19,3,8,11,22
Brandon Spencer,3,5,5,10,0
Chris Atkins,9,2,7,9,4
Sebastien Silley,8,1,6,7,6
Michael Starks,3,6,0,6,0
Michael Araki Young,2,1,5,6,0
Andrew Klukas,2,3,2,5,0
Matt Kolec,19,2,2,4,2
Jason Harynuk,4,1,3,4,4
Kerry Regan,15,0,3,3,28
James Deady,1,2,0,2,0
Kian Khoshrevis,2,1,1,2,2
Evan Kite,2,0,2,2,0
Aaron Atkins,1,0,0,0,0
Shawn Overton,2,0,0,0,2
Aidan Pelton,1,0,0,0,2
