Player,GP,G,A,P,PM
Mike Kari,22,16,17,33,14
Mike Matthews,20,11,15,26,2
Nick Gorse,19,6,12,18,4
Stuart Coy,19,5,13,18,2
Scott Coy,9,10,4,14,4
Dillon Crouch,19,3,11,14,8
Justin Stroud,14,4,9,13,8
Nathaniel Stuart,14,6,5,11,10
Kelsey Regan,13,7,3,10,16
Jason Harynuk,9,5,5,10,0
Chris Atkins,13,5,3,8,4
Kerry Regan,14,2,6,8,16
Peter Stokes,17,1,6,7,10
Sebastien Silley,11,2,3,5,4
Matt Kolec,17,1,4,5,0
Aaron Atkins,9,0,5,5,2
Elan Swartz,1,3,1,4,0
Matt Leduc,1,3,0,3,0
Michael Araki Young,1,1,2,3,0
Kyle Misewich,2,2,0,2,0
Brendan Koops,1,1,1,2,0
Mark Seinen,1,1,0,1,0
Liam Griffin,1,1,0,1,2
Tate Moral,1,0,1,1,0
Dan Aylward,1,0,1,1,0
Jason Turner,2,0,0,0,2
Vishal Kaushal,1,0,0,0,0
Eric Cislak,1,0,0,0,0
Jordan Norseworthy,1,0,0,0,0
Sam Paxton,1,0,0,0,0
