Player,GP,G,A,P,PM
Justin Stroud,3,5,2,7,4
Jason Harynuk,3,2,3,5,0
Mike Kari,3,0,4,4,0
Scott Coy,3,1,1,2,2
Stuart Coy,2,1,1,2,4
Peter Stokes,2,1,1,2,2
Dillon Crouch,3,0,2,2,0
Nick Gorse,3,1,0,1,2
Chris Atkins,3,1,0,1,0
Nathaniel Stuart,3,0,1,1,2
Matt Kolec,3,0,0,0,0
Kerry Regan,3,0,0,0,2
Mike Matthews,2,0,0,0,0
Kelsey Regan,1,0,0,0,2
Sebastian Silley,0,0,0,0,0
Aaron Atkins,0,0,0,0,0
